Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;54,651714;60;10;2;deep;ad;near;-0,803662;3,727119;out;deuce;far;-4,039062;27,302341;1,399414;down the line;In;false;07:51:38;2194,27002
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;73,978119;60;10;2;deep;ad;far;2,829976;21,942924;out;ad;near;-0,491211;-1,29253;1,746094;inside out;In;false;07:51:40;2196,469971
Rikard Rykkvin;6;in_play;Backhand;Flat;53,022873;60;10;2;short;ad;near;-2,592381;10,169432;out;ad;far;2,816406;25,224216;1,527344;cross court;In;false;07:51:42;2198,27002
Rasmus Kopperud Riis;7;in_play;Backhand;Slice;64,873138;60;10;2;deep;ad_alley;far;4,386032;18,625286;deep;ad_alley;near;-4,8125;2,379345;0,777344;cross court;Out;false;07:51:44;2200,469971
Rikard Rykkvin;8;in_play;Backhand;Topspin;62,494152;60;10;2;out;ad_alley;far;4,234375;23,994589;deep;ad_alley;far;4,355469;23,896091;1,351562;cross court;Net;false;07:51:46;2202,219971
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;91,857239;61;10;2;short;deuce;far;-2,029829;15,589828;deep;deuce;near;1,404297;0,43617;2,349609;out wide;In;false;07:52:06;2222,370117
Rikard Rykkvin;2;first_return;Forehand;Topspin;92,491776;61;10;2;deep;deuce;far;-0,822363;22,090649;out;deuce;far;-3,728516;24,521091;1;cross court;Net;false;07:52:07;2223,669922
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;77,106468;61;10;2;deep;ad_alley;far;5,43276;19,576998;deep;deuce;near;2,259766;1,691845;1,025391;down the line;Out;false;07:52:10;2225,830078
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;59,843983;62;10;2;short;deuce;near;2,748047;11,789062;deep;ad;near;-0,13269;1,05122;2,509766;out wide;Net;false;07:52:22;2238
Rasmus Kopperud Riis;1;second_serve;Serve;Kick;89,449478;62;10;2;deep;ad;far;2,122913;19,469009;deep;ad;near;-0,070068;-0,267496;2,480469;down the T;Out;false;07:52:28;2243,939941
