Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;89,482422;36;6;1;deep;deuce;near;3,229069;1,840804;deep;ad;far;1,238281;23,177341;1,121094;inside in;In;false;07:40:34;
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;50,719467;36;6;1;short;ad;far;0,002052;17,43601;out;deuce;near;3,232422;-0,745655;1,211914;down the line;In;false;07:40:35;
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;98,16098;36;6;1;deep;deuce;near;3,545447;2,621658;deep;deuce;far;-0,100647;22,271091;1,976562;cross court;In;false;07:40:38;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;107,94751;37;6;1;short;ad;near;-1,279636;6,975445;deep;ad;far;0,583496;23,833591;2,599609;down the T;In;false;07:40:52;
Rikard Rykkvin;2;first_return;Forehand;Topspin;91,383003;37;6;1;deep;ad;far;3,21875;19,40625;out;ad;near;-1,751953;-1,815967;1,173828;inside out;In;false;07:40:54;
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Flat;66,714142;37;6;1;short;ad;far;2,412109;14,171875;out;ad_alley;far;4,4375;25,458591;1,148438;down the line;Net;false;07:40:55;
Rikard Rykkvin;0;none;Feed;Flat;37,630787;38;6;1;deep;ad;far;3,388806;18,873871;deep;deuce;near;3,490234;5,14497;3,302734;---;In;false;07:41:03;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;120,946732;38;6;1;short;deuce;near;1,407287;8,143734;deep;deuce;far;-0,481689;23,657642;2,316406;down the T;In;false;07:41:15;
Rikard Rykkvin;2;first_return;Backhand;Flat;73,360512;38;6;1;out;ad;far;2,695425;28,149736;out;deuce;near;2,707031;-1,26128;1,078125;inside in;Out;false;07:41:16;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;109,283508;39;6;1;short;ad;near;-0,451212;5,558545;deep;ad;far;0,358643;22,771091;2,435547;down the T;In;false;07:41:29;
Rikard Rykkvin;2;first_return;Forehand;Slice;45,403439;39;6;1;short;ad;near;-2,552734;9,648438;out;ad;near;-0,934082;-1,558155;1,148438;inside out;Net;false;07:41:30;
Rasmus Kopperud Riis;0;none;Feed;Flat;39,024517;40;7;1;short;ad;near;-0,628418;7,835938;short;deuce;far;-0,68457;17,536716;3,054688;---;In;false;07:41:37;
Rikard Rykkvin;1;first_serve;Serve;Flat;56,546265;40;7;1;short;ad;near;-0,703125;11,875;deep;deuce;near;1,776367;0,246533;2,517578;down the T;Net;false;07:42:37;
Rikard Rykkvin;1;second_serve;Serve;Slice;91,100006;40;7;1;deep;deuce;far;-3,5471;18,627098;deep;deuce;near;1,003906;0,496533;2,501953;out wide;Out;false;07:42:44;
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;89,54805;40;7;1;deep;deuce;near;2,747662;4,038411;out;deuce_alley;far;-4,945312;25,724216;1,183594;down the line;In;false;07:42:45;
Rikard Rykkvin;3;serve_plus_one;Forehand;Flat;75,030472;40;7;1;out;ad;far;0,041993;25,381001;out;deuce;near;3,472656;-0,32378;0,991699;down the line;Out;false;07:42:46;
Rikard Rykkvin;1;first_serve;Serve;Flat;108,286278;41;7;1;short;ad;far;3,358417;18,264086;deep;ad;near;-1,393555;0,45747;2,517578;out wide;In;false;07:43:15;
Rasmus Kopperud Riis;2;first_return;Backhand;Topspin;52,963905;41;7;1;short;deuce_out;near;5,960449;6,871094;out;ad;far;3,904297;24,583591;1,370117;down the line;Out;false;07:43:16;
Rikard Rykkvin;1;first_serve;Serve;Slice;107,654297;42;7;1;short;deuce;far;-3,250795;18,25606;deep;deuce;near;0,830078;0,402783;2,5;out wide;In;false;07:43:28;
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;77,429352;42;7;1;short;deuce;near;1,611579;7,911756;out;deuce_alley;far;-4,664062;25,271091;1,087891;down the line;In;false;07:43:29;
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;78,464256;42;7;1;out;ad;far;0,899449;27,121614;deep;deuce;near;3,107422;1,129345;0,887695;down the line;Out;false;07:43:31;
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Topspin;49,980812;42;7;1;deep;deuce_alley;near;4,382936;4,756437;out;ad;far;0,998047;24,771091;0,65625;down the line;Out;false;07:43:32;
Rikard Rykkvin;1;first_serve;Serve;Slice;89,2985;43;7;1;short;ad;far;1,223415;17,846205;deep;ad;near;-1,586914;1,371533;2,328125;down the T;In;false;07:43:46;
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;88,420891;43;7;1;deep;deuce_alley;near;4,712326;3,626676;out;ad;far;2,304688;26,239841;1,380859;inside in;Out;false;07:43:48;
Rikard Rykkvin;1;first_serve;Serve;Slice;108,352684;44;7;1;short;deuce;far;-2,378088;18,148111;deep;deuce;near;1,246094;1,066845;2,363281;out wide;In;false;07:44:10;
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;48,266716;44;7;1;short;deuce;far;-0,973145;12,054688;out;deuce;far;-3,625;25,302341;1,15332;cross court;Net;false;07:44:11;
Rikard Rykkvin;1;first_serve;Serve;Flat;139,16481;45;7;1;short;ad;far;1,357657;18,009478;deep;ad;near;-1,226562;0,660595;2,236328;down the T;In;false;07:44:24;
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;48,886322;45;7;1;short;deuce;far;-2,095703;17,241257;out;ad;far;2,412109;25,583591;1,169922;inside in;Net;false;07:44:25;
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;173,937851;46;8;1;short;deuce;far;-0,510742;15,117188;short;deuce;near;0,979492;0,445376;2,550781;down the T;In;false;07:45:30;
Rikard Rykkvin;2;first_return;Backhand;Slice;53,404823;46;8;1;deep;deuce_out;near;6,958802;3,043894;out;deuce;far;-0,882324;25,021091;0,915039;inside in;Out;false;07:45:31;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;134,499161;47;8;1;short;ad;far;3,572335;17,93922;deep;ad;near;-0,267822;0,199658;2,462891;out wide;In;false;07:45:42;
Rikard Rykkvin;2;first_return;Backhand;Flat;67,325386;47;8;1;short;deuce;near;1,138223;6,668509;out;ad_alley;far;4,46875;25,239841;1,056641;down the line;In;false;07:45:43;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;108,297478;47;8;1;deep;deuce;far;-0,310649;20,532455;deep;ad;near;-0,081848;1,129345;1,047852;inside in;In;false;07:45:44;
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;51,474548;47;8;1;deep;ad;near;-3,730191;5,461005;deep;deuce;far;-0,668457;24,083591;0,842773;down the line;In;false;07:45:45;
Rasmus Kopperud Riis;5;in_play;Backhand;Topspin;49,502346;47;8;1;short;ad;near;-1,287109;7,374156;deep;ad;near;-3,935547;0,902783;1,267578;cross court;Net;false;07:45:48;
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;109,489197;48;8;1;short;deuce;far;-2,312375;18,147738;deep;deuce;near;1,066406;0,824658;2,351562;down the T;In;false;07:46:01;
